Lead ID,Index,Account Id,Lead Owner,First Name,Last Name,Company,Phone 1,Phone 2,Email 1,Email 2,Website,Source,Deal Stage,Notes,Email 1 Valid,Email 2 Valid,Email,Email Domain,Phone 1 Valid,Phone 2 Valid,Phone,Website Domain,Company Lead Count,Data Completeness Score,Lead Quality,AI Industry,AI Company Type,AI Summary
11,11,FEccF62aAbE6eD7,Eric Quinn,Mckenzie,Barajas,Kent and Sons,5537046803,4409037137,tcosta@montes.com,ndavenport@pacheco.com,randall.net,Webinars,New Lead,See total kid technology.,True,True,tcosta@montes.com,montes.com,True,True,5537046803,randall.net,1,100.0,High,Unknown,Unknown,Kent and Sons is a new lead identified through webinar participation with notes referencing total kid technology.
12,12,F1c65315fF59DCc,Jasmine Brooks,Tina,Banks,"Hernandez, Gould and Tate",19825728198 ext 0142,0018235133542,joluna@huerta.info,jimmychoi@maddox.com,adkins.org,Linkedin Outreach,Closed Lost,Over religious seat I surface world often.,True,True,joluna@huerta.info,huerta.info,True,True,19825728198 ext 0142,adkins.org,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry or company type for Hernandez, Gould and Tate."
13,13,EFffF4cA5Ff78f2,Kara Mullins,Deborah,Hurley,Owens and Sons,16398747063 ext 8850,6733249098 ext 74040,nicole50@choi.info,estradajaclyn@goodwin.com,lloyd.info,Linkedin Outreach,Qualified,Cover but remember yes source either run.,True,True,nicole50@choi.info,choi.info,True,True,16398747063 ext 8850,lloyd.info,1,100.0,High,Unknown,Unknown,Owens and Sons is a business identified through LinkedIn outreach with no specific industry or company type information available in the provided notes.
14,14,4fa6cdaAceBca63,Nina Anderson,Tanya,Thomas,Durham-Reilly,16127800112 ext 01770,6986228471,dyercristina@maxwell-mckee.net,cameronwilliamson@malone-archer.info,henson.biz,Direct Traffic,Re-Engagement,Their tend sense game result would set.,True,True,dyercristina@maxwell-mckee.net,maxwell-mckee.net,False,True,16127800112 ext 01770,henson.biz,1,100.0,Medium,Unknown,Unknown,There is insufficient information provided to determine the industry or company type of Durham-Reilly.
15,15,807a2fbC423e818,Barry Whitaker,Tiffany,Bowman,Bray PLC,9237957518,0012472091950 ext 53032,coleparsons@miller-harris.org,holdercassidy@cain.net,larsen.com,Website Form,Proposal Sent,Necessary option receive.,True,True,coleparsons@miller-harris.org,miller-harris.org,True,False,9237957518,larsen.com,1,100.0,High,Unknown,Unknown,Bray PLC submitted a request through a website form and is currently in the proposal stage of the sales pipeline.
16,16,CEA4F32AEB26f33,Melissa Alvarado,Tyrone,Shaffer,Neal PLC,12757483286 ext 412,5282345014 ext 044,jimmywright@mccarty.com,crosbycesar@diaz-bean.info,lin.com,Direct Traffic,Re-Engagement,Sea PM kind check.,True,True,jimmywright@mccarty.com,mccarty.com,True,True,12757483286 ext 412,lin.com,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry, company type, or business activities of Neal PLC."
17,17,Ce2A5eb4dC72E18,Lindsay Ashley,Jerome,Hardy,Pena PLC,6184718875,7409962799 ext 16414,franklinfrye@melton.biz,jackiefuentes@lucero.net,hoffman-ray.com,Networking Event,Qualified,Power ability important eye law democratic expect.,True,True,franklinfrye@melton.biz,melton.biz,True,True,6184718875,hoffman-ray.com,1,100.0,High,Unknown,Unknown,Pena PLC is a company identified through a networking event with insufficient information available to determine its specific industry or business type.
18,18,bB2e1aD4A3e0Bd0,Carly Walton,Max,Cox,"Reyes, Simmons and Shields",4715270291 ext 0621,9893875155 ext 64134,erikaingram@leon.biz,mccarthycaroline@steele.com,chung.com,Direct Traffic,Closed Won,Seven statement performance home.,True,True,erikaingram@leon.biz,leon.biz,True,True,4715270291 ext 0621,chung.com,1,100.0,High,Unknown,Unknown,"Reyes, Simmons and Shields is a company with no provided details regarding their industry, operations, or services."
19,19,EC2e54dD29cA5C3,Mackenzie Schaefer,Sophia,Franco,"Nixon, Coleman and Dougherty",5449187798,17574574834,sellersdarrell@keller.org,kochfelicia@sellers.com,hubbard.net,Website Form,Contacted,Out pass tell yeah he eye.,True,True,sellersdarrell@keller.org,keller.org,True,True,5449187798,hubbard.net,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry or company type of Nixon, Coleman and Dougherty."
20,20,e1e0d69dFFCFE19,Mathew Bauer,Steven,Bradley,"Kane, Warren and Benton",3668481680 ext 4950,5363095035,stephanie81@valencia.com,glasswhitney@meyer.info,holloway-knox.biz,Facebook Ads,Qualified,Week cause herself always.,True,True,stephanie81@valencia.com,valencia.com,True,True,3668481680 ext 4950,holloway-knox.biz,1,100.0,High,Unknown,Unknown,The company information provided is insufficient to determine the industry or company type.
21,21,E2e4cD87FeC6Fd0,Tiffany Olsen,Andrea,Newton,"Miles, Li and Larsen",2347721962 ext 849,6017199800,courtneyfitzpatrick@little.info,daisy82@rose.com,mclean.info,Social Media,On Hold,Particularly then at real film ground walk usually.,True,True,courtneyfitzpatrick@little.info,little.info,True,True,2347721962 ext 849,mclean.info,1,100.0,High,Unknown,Unknown,"The company Miles, Li and Larsen has no clear business description or industry-related information provided in the available data."
22,22,E8d85DE3A7a356d,Yolanda Gonzalez,Gary,Johns,"Tanner, Case and Ritter",9728522763,12187257495 ext 267,gpace@bridges.com,sheenacarpenter@jensen-ortega.com,moran.com,Cold Call,Qualified,Growth light film book foot star.,True,True,gpace@bridges.com,bridges.com,True,True,9728522763,moran.com,1,100.0,High,Unknown,Unknown,The company information provided is insufficient to determine an industry or company type.
23,23,Fe9C4eFD56EA7BE,Troy Newman,Mckenzie,Vargas,"Hebert, Graves and Duran",2966943546,5953833715 ext 462,moyeralvin@livingston.info,paul92@gallagher.com,patrick.info,Social Media,Re-Engagement,Current technology away well speak act.,True,True,moyeralvin@livingston.info,livingston.info,True,True,2966943546,patrick.info,1,100.0,High,Unknown,Unknown,"Insufficient information is available to determine the industry or company type of Hebert, Graves and Duran based on the provided data."
24,24,D89fbF1cb9bB5C6,Anna Pearson,Dustin,Rosales,Ferguson Inc,4492568860,9789569791,muellermandy@kramer.info,horneallen@shields.net,lucas-kelly.org,Podcast,Closed Won,Break determine speech true.,True,True,muellermandy@kramer.info,kramer.info,True,True,4492568860,lucas-kelly.org,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the industry or company type for Ferguson Inc.
25,25,87b3AEB2447dA62,Tracy Edwards,Chad,Mata,"Carney, Cantu and Sawyer",6194781204 ext 919,6264329904,tylerjesse@hebert.info,vdowns@sims.com,guerra.info,Partner Program,New Lead,Kind miss believe economic sense play.,True,True,tylerjesse@hebert.info,hebert.info,True,True,6194781204 ext 919,guerra.info,1,100.0,High,Unknown,Unknown,"Carney, Cantu and Sawyer is a new lead from a partner program with no available information regarding its industry or business operations."
26,26,8d8f7cDdefb910e,Adrian Price,Joy,Beltran,Woodward and Sons,16786737748 ext 67647,15096166091,wendydennis@barajas.com,zmays@cherry.com,mayer-dominguez.com,Linkedin Outreach,Contacted,Oil to when product evening strategy American.,True,True,wendydennis@barajas.com,barajas.com,False,True,16786737748 ext 67647,mayer-dominguez.com,1,100.0,Medium,Unknown,Unknown,"Woodward and Sons was contacted via LinkedIn outreach, but there is insufficient information to determine their industry or business model."
27,27,dB6C697D801662B,Clayton Ellis,Lydia,Barron,Schroeder Group,9554536069 ext 659,5498583009 ext 7600,lfoster@moon-hogan.org,jzhang@ruiz-wade.com,barton.com,Organic Search (Seo),Disqualified,Consider ground win.,True,True,lfoster@moon-hogan.org,moon-hogan.org,True,True,9554536069 ext 659,barton.com,1,100.0,High,Unknown,Unknown,Schroeder Group is a company identified through organic search that is currently in a disqualified deal stage.
28,28,2BDCFeECDBB79AB,Blake Lin,Carly,Morton,"Berry, Wyatt and Thompson",7835622282,19186066575 ext 169,alexis37@estrada.info,vholland@butler-sloan.org,decker.com,Retargeting Ads,On Hold,Young southern to soldier foot face trouble especially.,True,True,alexis37@estrada.info,estrada.info,True,True,7835622282,decker.com,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry or company type of Berry, Wyatt and Thompson."
29,29,24debf2dEe8eDF3,Jeffrey Hayes,Jason,Herrera,Hinton-Crane,13339707031,12015145822 ext 3446,rcollins@cox-valenzuela.org,alejandrachung@beasley-wolfe.com,tran.com,Podcast,Disqualified,Full artist manager game.,True,True,rcollins@cox-valenzuela.org,cox-valenzuela.org,True,True,13339707031,tran.com,1,100.0,High,Entertainment,Software,Hinton-Crane is involved in the development or management of an artist manager game.
30,30,7E6bB20532EA89b,Roy Phelps,Lucas,Fitzgerald,"Reed, Porter and Garrett",3429325965 ext 89442,7374301091,ehuerta@bond.net,msaunders@gill-keller.com,harper.com,Cold Call,Proposal Sent,Mind quality those the.,True,True,ehuerta@bond.net,bond.net,True,True,3429325965 ext 89442,harper.com,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry or company type for Reed, Porter and Garrett."
31,31,ccF8e0d8fBB8Daf,Nicolas Winters,Grace,Potter,"Pollard, Serrano and Hancock",6888860868,9114335304,jhendricks@hansen.info,stephensonkurt@white.net,tran-steele.info,Linkedin Outreach,Negotiation,Recently the be traditional.,True,True,jhendricks@hansen.info,hansen.info,True,True,6888860868,tran-steele.info,1,100.0,High,Unknown,Unknown,"The available information provides no specific details regarding the industry or company type of Pollard, Serrano and Hancock."
32,32,CcDe2e45AfE9313,Jorge Huffman,Gregg,Johnson,Harrington Group,8653546948 ext 31539,7176225758 ext 990,santiagofrancisco@saunders-solis.com,spencerjermaine@garrett.com,hill-cuevas.biz,Direct Traffic,Negotiation,Quickly mind performance subject who pass throughout end.,True,True,santiagofrancisco@saunders-solis.com,saunders-solis.com,True,True,8653546948 ext 31539,hill-cuevas.biz,1,100.0,High,Unknown,Unknown,"Harrington Group is currently in the negotiation stage of a business deal, but there is insufficient information to determine its industry or company type."
33,33,Df3CC92785D5BC8,Herbert Mccormick,Charlotte,Hughes,Velazquez Inc,6296898135,4133931842 ext 9426,alexcarson@rosales.com,gaycassandra@gilmore-riley.com,stewart.com,Linkedin Outreach,Closed Lost,Measure enter hold.,True,True,alexcarson@rosales.com,rosales.com,True,True,6296898135,stewart.com,1,100.0,High,Unknown,Unknown,The provided information regarding Velazquez Inc does not contain sufficient details to determine the company's industry or business model.
34,34,c04bF6a0caCEe8C,Kyle Townsend,Eddie,Shepherd,"Peterson, Mcintosh and Duran",2844247909,9919109131,farleyjake@clark.org,dennissherman@oneal.com,mosley-mcclure.org,Podcast,New Lead,Soon consider only effect candidate agent century bank.,True,True,farleyjake@clark.org,clark.org,True,True,2844247909,mosley-mcclure.org,1,100.0,High,Unknown,Unknown,The available information provides no clear details regarding the company's industry or business activities.
35,35,ae1Df9F26E54D6f,Maria Foster,Alfred,Bolton,Melton PLC,4424545628 ext 4434,9229572221 ext 82407,theodoreholder@sellers.com,robbinsross@sexton-watkins.com,duffy.com,Webinars,Proposal Sent,Watch never management common partner than mother.,True,True,theodoreholder@sellers.com,sellers.com,True,True,4424545628 ext 4434,duffy.com,1,100.0,High,Unknown,Unknown,"Melton PLC is currently in the proposal stage following participation in a webinar, though no specific business activities or industry focus are discernible from the provided notes."
36,36,AeBdC072578242D,Priscilla Mann,Gail,Warner,"Good, Montgomery and Woods",4492201983,16174321751 ext 9756,jakesoto@castaneda-blanchard.com,ncervantes@solis.info,mcgee-stanton.biz,Google Ads,Re-Engagement,Hundred guy woman first.,True,True,jakesoto@castaneda-blanchard.com,castaneda-blanchard.com,True,True,4492201983,mcgee-stanton.biz,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry or company type of Good, Montgomery and Woods."
37,37,Ea46ff9A38aF47B,Dwayne Lin,Maria,Archer,Howard-Ballard,4906758269,8868441647,gbrown@gallagher.net,lewisregina@curtis-mcmahon.com,espinoza.com,Linkedin Outreach,Closed Lost,Learn much executive current close include.,True,True,gbrown@gallagher.net,gallagher.net,True,True,4906758269,espinoza.com,1,100.0,High,Unknown,Unknown,The available information is insufficient to determine the company's industry or business model.
38,38,0bAd3ddED336Acb,Sean Swanson,Fernando,Cantu,Rush-Martin,17754701047 ext 621,0017402565581 ext 40856,crossalicia@oneill-decker.info,csimon@massey.com,melton.com,Trade Show,Closed Lost,Memory go full score particularly day direction.,True,True,crossalicia@oneill-decker.info,oneill-decker.info,True,False,17754701047 ext 621,melton.com,1,100.0,High,Unknown,Unknown,"Rush-Martin was identified as a business lead from a trade show and categorized as a closed lost deal, though no specific industry or company details are available."
39,39,AF4EFA79d8dE3eF,Gordon Ruiz,Annette,Ramsey,Lin-Lawson,5959142510,9198186874 ext 4199,jonestami@winters.biz,wongerica@kirk.com,lucas-dillon.com,Direct Traffic,Qualified,Fish clearly moment senior they range.,True,True,jonestami@winters.biz,winters.biz,True,True,5959142510,lucas-dillon.com,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the industry or company type of Lin-Lawson based on the provided data.
40,40,FE88BE947cF3A74,Betty Ferrell,Nicholas,Knox,Castaneda-Mcpherson,7312845600,16446388164 ext 81688,brycezimmerman@benjamin-thornton.biz,wgrimes@bentley.net,kelly.net,Networking Event,New Lead,Husband level material kid serious store where.,True,True,brycezimmerman@benjamin-thornton.biz,benjamin-thornton.biz,True,False,7312845600,kelly.net,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the industry or company type of Castaneda-Mcpherson based on the provided notes.
41,41,fD3FdCbb4163bD6,Warren Santos,Jonathon,Rivers,Church-Dunn,6756268100,4153919866 ext 1417,ycoleman@wright.com,kelleybrenda@barron-bowen.com,li.com,Webinars,Disqualified,My question stock.,True,True,ycoleman@wright.com,wright.com,True,True,6756268100,li.com,1,100.0,High,Unknown,Unknown,Church-Dunn is a disqualified lead sourced from a webinar with no clear industry or company type information provided.
42,42,3fEd0Bc91FdC93c,Herbert George,Eileen,Mullen,Williamson-Weiss,7373088613 ext 68510,4282604038,courtney50@farley.com,rwoods@ochoa-beltran.org,livingston.biz,Purchased List,Re-Engagement,Receive society sign keep.,True,True,courtney50@farley.com,farley.com,True,True,7373088613 ext 68510,livingston.biz,1,100.0,High,Unknown,Unknown,"The company is currently categorized as a re-engagement lead, but insufficient information is provided to determine its industry or company type."
43,43,FeCAcDEEeD6A0c4,Jennifer Blevins,Kerry,Hampton,Mclean-Huang,3384285764 ext 2810,16037270592 ext 3524,lonniebradford@gregory.org,connie75@barnett.com,haley.com,Cold Email,Re-Engagement,Too first establish available another prove site.,True,True,lonniebradford@gregory.org,gregory.org,True,True,3384285764 ext 2810,haley.com,1,100.0,High,Unknown,Unknown,The provided information does not contain sufficient details to determine the industry or company type for Mclean-Huang.
44,44,422dcDabc79d4AE,Leroy Daugherty,Veronica,Bird,Hess LLC,4207577936,2543984561,colinlynn@peck.com,tmayer@brennan.com,hanna.info,Retargeting Ads,Negotiation,Including share including open story heavy.,True,True,colinlynn@peck.com,peck.com,True,True,4207577936,hanna.info,1,100.0,High,Unknown,Unknown,"Hess LLC is a company currently in the negotiation phase of a business deal, with no specific industry or business type identified based on the provided data."
45,45,CB10FbDc2824158,Melanie Burns,Beth,Sampson,Terrell PLC,9287871632 ext 270,4913569843 ext 8345,gilbertclayton@stone.com,eduardoarmstrong@pittman-holloway.biz,cook-ellison.info,Chatbot,Closed Won,Mouth car Republican compare responsibility miss.,True,True,gilbertclayton@stone.com,stone.com,True,True,9287871632 ext 270,cook-ellison.info,1,100.0,High,Unknown,Unknown,Terrell PLC is an entity with insufficient public information to determine its specific industry or company type.
46,46,699BCBDF5ABc6E8,Mackenzie Lee,Chelsey,Walsh,"Davidson, Odonnell and Short",3453997387 ext 26399,4789076521,russell57@vaughn.com,valerie44@odom.com,welch.biz,Cold Call,Closed Won,Daughter let draw statement especially.,True,True,russell57@vaughn.com,vaughn.com,True,True,3453997387 ext 26399,welch.biz,1,100.0,High,Unknown,Unknown,"The company Davidson, Odonnell and Short was identified through a cold call and reached a closed won deal stage, but no further business information is available."
47,47,c2B7a4cDe2b4cBC,Brittany Taylor,Tom,Santana,Rollins-Stanton,0017405144271 ext 34158,7315830166 ext 345,brent06@shepard.com,cjenkins@cisneros-espinoza.com,paul.com,Other,Re-Engagement,Mother what agree maybe above.,True,True,brent06@shepard.com,shepard.com,False,True,0017405144271 ext 34158,paul.com,1,100.0,Medium,Unknown,Unknown,There is insufficient information available to determine the industry or company type for Rollins-Stanton based on the provided data.
48,48,444Dd84e7ECEC77,Bob Cunningham,Cristian,Mcclure,King-Lee,13739947902 ext 8449,13287463283 ext 687,prich@chavez.net,jason61@holmes.net,mullen.net,Referral,On Hold,Process form identify course.,True,True,prich@chavez.net,chavez.net,True,True,13739947902 ext 8449,mullen.net,1,100.0,High,Unknown,Unknown,"King-Lee is a company currently in an on-hold deal stage, with notes referencing process forms and identifying courses."
49,49,69c947a73d64ebA,Jesus Nelson,Rita,Schultz,Levy PLC,8433313124 ext 233,8927335497,chelsey56@cisneros-cowan.com,briannamcfarland@gomez.biz,castaneda.com,Google Ads,Contacted,Look admit source threat degree building author.,True,True,chelsey56@cisneros-cowan.com,cisneros-cowan.com,True,True,8433313124 ext 233,castaneda.com,1,100.0,High,Unknown,Unknown,There is insufficient information available to determine the industry or company type for Levy PLC based on the provided notes and data.
50,50,29Db24dCDfEdBCC,Latoya Beck,Eugene,May,Saunders-Mcdowell,4587048204 ext 9179,4308141446,curtis83@mendez.com,dhooper@ramsey.com,guerra.com,Referral,Disqualified,Various trouble how plant future.,True,True,curtis83@mendez.com,mendez.com,True,True,4587048204 ext 9179,guerra.com,1,100.0,High,Unknown,Unknown,There is insufficient information to determine the industry or company type for Saunders-Mcdowell based on the provided notes.
51,51,e35Ac13a9eAA8f2,Ross Hood,Peter,Obrien,"Martin, Cooley and Conway",3414961894 ext 567,7954654854 ext 361,mpaul@boyle.com,andresbutler@arroyo.net,pacheco.org,Google Ads,Qualified,These yeah attack wrong all box than.,True,True,mpaul@boyle.com,boyle.com,True,True,3414961894 ext 567,pacheco.org,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry or company type for Martin, Cooley and Conway."
52,52,0549BeaA2313498,Paul Lara,Craig,Clarke,"Hanna, Briggs and Barnes",6082612182 ext 9687,18108862810 ext 34324,dawnblake@pugh.com,obrooks@nash.com,cuevas.info,Podcast,Qualified,At accept trial send.,True,True,dawnblake@pugh.com,pugh.com,True,False,6082612182 ext 9687,cuevas.info,1,100.0,High,Unknown,Unknown,"Hanna, Briggs and Barnes is a prospective lead currently at the trial stage based on internal notes."
53,53,fA4ECd15eb281F8,Juan Lowery,Rachel,Eaton,Daniels-Moon,3588138423,2302770123 ext 09169,simpsonsheila@gentry-hawkins.biz,amoore@walls.com,bradley.com,Content Marketing,Closed Lost,Race amount both kid last.,True,True,simpsonsheila@gentry-hawkins.biz,gentry-hawkins.biz,True,True,3588138423,bradley.com,1,100.0,High,Unknown,Unknown,"Daniels-Moon is a company identified through content marketing with a deal stage of closed lost, though no specific business activities or industry details are available."
54,54,C03491Db1c7BeF3,Vanessa Boyle,Sarah,Barrera,"Tran, Haney and Torres",18319831785 ext 689,14672551894 ext 21709,claudia35@ortiz.net,ricky59@dean.com,wolfe.com,Cold Email,Negotiation,Site beautiful choose government go.,True,True,claudia35@ortiz.net,ortiz.net,True,False,18319831785 ext 689,wolfe.com,1,100.0,High,Unknown,Unknown,"There is insufficient evidence provided to determine the industry or company type of Tran, Haney and Torres."
55,55,7AaCddcfeEFC467,Steve Munoz,Devin,Hess,"Cortez, Coffey and Martin",5914294983,0017527539075,jim74@rich.com,oscarrollins@holland-larson.net,rios.com,Organic Search (Seo),New Lead,Operation total end space.,True,True,jim74@rich.com,rich.com,True,True,5914294983,rios.com,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry or company type of Cortez, Coffey and Martin."
56,56,6D67a25aAAab7C0,Connie Cervantes,Hector,Rivera,Bernard-Carney,3172436638 ext 7314,8604488592 ext 801,hensleyeduardo@coleman.com,tim20@moses-maynard.net,yoder.com,Social Media,Closed Won,Family nation inside appear miss.,True,True,hensleyeduardo@coleman.com,coleman.com,True,True,3172436638 ext 7314,yoder.com,1,100.0,High,Unknown,Unknown,"The available information regarding Bernard-Carney is insufficient to determine its industry, company type, or business activities."
57,57,D53411119C1A5Ac,Gary Calderon,Todd,Valentine,Dalton and Sons,19559798896 ext 185,2505652329,sheliaharper@ruiz.com,tylerdarrell@hendrix-cummings.biz,kirby.net,Chatbot,Re-Engagement,Major dinner room get activity.,True,True,sheliaharper@ruiz.com,ruiz.com,True,True,19559798896 ext 185,kirby.net,1,100.0,High,Unknown,Unknown,The company is being re-engaged following activity related to dining room operations.
58,58,1bEAEdDA3Eca3C2,Sierra Berry,Rose,Kirby,"Hester, Fletcher and Doyle",4243241309,3418250986 ext 5913,terri89@boyd.com,brianayoder@pierce.com,hughes-robertson.net,Podcast,Qualified,Deep economy chance source.,True,True,terri89@boyd.com,boyd.com,True,True,4243241309,hughes-robertson.net,1,100.0,High,Unknown,Unknown,"Hester, Fletcher and Doyle is a company identified in a podcast as being associated with deep economy opportunities."
59,59,bBed9e5aBBC011F,Morgan Mercer,George,Downs,"Haas, Dalton and Orozco",2394364613 ext 6520,2326478609 ext 97025,jessica29@schmidt.com,ghaas@barton.info,barker-moody.com,Google Ads,Closed Won,Responsibility before sister full lay leave west.,True,True,jessica29@schmidt.com,schmidt.com,True,True,2394364613 ext 6520,barker-moody.com,1,100.0,High,Unknown,Unknown,"There is insufficient information provided to determine the industry or company type for Haas, Dalton and Orozco."
60,60,C12C0a43A8dbaC8,Jodi Allison,Jackson,Soto,"Mcmillan, Pineda and Mcguire",8566590018,7788810815,dean95@williamson.com,reginagilbert@rivera-robertson.com,arellano.com,Trade Show,On Hold,Choice scientist audience.,True,True,dean95@williamson.com,williamson.com,True,True,8566590018,arellano.com,1,100.0,High,Unknown,Unknown,The company is identified as having a choice scientist audience based on trade show notes.
61,61,5ebdAC98BcE4B55,Marco Pratt,Gloria,Watkins,"York, Pena and Chambers",0019933342199 ext 152,0014775198904 ext 85550,jermaineleon@clayton-barber.com,vross@monroe-fisher.com,ochoa.com,Cold Call,Contacted,Space put several central much those investment else.,True,True,jermaineleon@clayton-barber.com,clayton-barber.com,False,False,0019933342199 ext 152,ochoa.com,1,100.0,Medium,Unknown,Unknown,"The company York, Pena and Chambers has been contacted via cold call, but there is insufficient information provided to determine its specific industry or business type."
62,62,b2CFb30616F7A6F,Paige Morrison,Tanya,Hendricks,Hubbard Ltd,4794325160,6744707600,petersenjody@hendricks.com,randytate@espinoza-blair.com,jackson-gonzales.com,Retargeting Ads,Closed Won,Mention owner stop ahead factor speech.,True,True,petersenjody@hendricks.com,hendricks.com,True,True,4794325160,jackson-gonzales.com,1,100.0,High,Unknown,Unknown,"Hubbard Ltd is a business entity that reached a closed-won deal stage through retargeting ads, though no specific industry or operational details are provided."
